SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"הלילה אלך לישון מוקדם.","Neutral",0,3,83,1
"אני רוצה לנקות את הבית.","Neutral",0,3,103,2
"איפה שמתי את המפתחות?","Neutral",0,2,72,3
"מה בא לי לאכול?","Neutral",0,2,93,4
"אני צריכה לבדוק את המייל.","Neutral",0,2,100,5
"יש לי התראה בפלאפון.","Neutral",0,2,109,6
"אני יושבת כרגע.","Neutral",0,1,68,7
"אני יושבת מול מחשב.","Neutral",0,1,73,8
"אני מבינה עברית.","Neutral",0,1,74,9
"אני תושבת ישראל.","Neutral",0,1,79,10
"אני צריכה לעשות קניות.","Neutral",0,1,90,11
"אני הרבה בנסיעות.","Neutral",0,1,94,12
"מה יש לי לעשות היום?","Neutral",1,4,86,13
"בא לי לשתות קפה.","Neutral",-1,3,78,14
"יש לי תוכניות למחר.","Neutral",1,3,80,15
"שתיתי מספיק מים היום?","Neutral",1,3,91,16
"מה אני אלבש היום?","Neutral",1,3,92,17
"אני צריכה לארגן את הלו\"ז.","Neutral",1,3,102,18
"מחר אקום מוקדם.","Neutral",1,3,104,19
"אני משתתפת בניסוי.","Neutral",1,2,82,20
"אני רוצה להסתפר.","Neutral",1,2,85,21
"הערב אני בבית.","Neutral",1,2,87,22
"מה אעשה הערב?","Neutral",1,2,96,23
"אני צריכה לעשות כביסה.","Neutral",1,2,97,24
"אני צריכה לשלוח הודעה.","Neutral",-1,2,99,25
"אני עובדת במשך השבוע.","Neutral",-1,2,106,26
"בא לי לצאת להליכה.","Neutral",1,2,107,27
"אני רוצה לראות סרט.","Neutral",1,2,110,28
"אני נועלת נעליים.","Neutral",1,1,69,29
"אני בתוך בניין.","Neutral",-1,1,71,30
"איפה החניתי את האוטו?","Neutral",-1,1,75,31
"אני מצחצחת שיניים כל בוקר.","Neutral",1,1,84,32
"שתיתי משהו חם הבוקר.","Neutral",1,1,88,33
"אני בחדר שקט.","Neutral",1,1,89,34
"יש לי מטען לפלאפון.","Neutral",1,1,101,35
"אני משתמשת באוזניות.","Neutral",-1,1,108,36
"אני רוצה לצאת לאימון.","Neutral",2,3,81,37
"אני צריכה לעשות טלפון.","Neutral",-2,3,98,38
"אני נושמת.","Neutral",2,2,70,39
"אני רוצה לקרוא ספר.","Neutral",2,2,76,40
"למה אני אף פעם לא מצליחה?","Negative",-3,4,2,41
"למה אני לא מצליחה להזיז את עצמי?","Negative",-3,4,37,42
"אין לי כח לעשות דבר.","Negative",-3,4,44,43
"אני מרגישה אשמה כל הזמן.","Negative",-3,4,50,44
"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",-3,4,53,45
"אני חושבת שאני מכוערת.","Negative",-3,4,59,46
"אף אחד לא מבין אותי.","Negative",-3,3,3,47
"מה לא בסדר איתי?","Negative",-3,3,12,48
"הלוואי שהייתי במקום אחר.","Negative",-3,3,13,49
"אני אף פעם לא אצליח.","Negative",-3,3,22,50
"אני מרגישה חסרת אונים.","Negative",-3,3,23,51
"משהו לא בסדר איתי.","Negative",-3,3,25,52
"למה אני כל כך מדוכאת?","Negative",-3,3,35,53
"למה יש לי בעיות שאין לאחרים?","Negative",-3,3,41,54
"למה אני כזאת מתוסבכת?","Negative",-3,3,45,55
"אני לא מצליחה לסיים שום דבר.","Negative",-2,4,28,56
"כמה שאני עייפה ...","Negative",-2,4,31,57
"למה אני תמיד מגיבה ככה?","Negative",-2,4,38,58
"אני מרגישה שהעולם נגדי.","Negative",-3,2,1,59
"אני לא יכולה להמשיך.","Negative",-3,2,4,60
"אני כל כך חלשה.","Negative",-2,3,6,61
"אני מאוכזבת מהבחירות שלי.","Negative",-3,2,7,62
"נמאס לי מעצמי.","Negative",-3,2,8,63
"שום דבר לא מרגיש לי טוב.","Negative",-3,2,9,64
"אני לא מצליחה לארגן דברים.","Negative",-2,3,14,65
"אני שונאת את עצמי.","Negative",-3,2,15,66
"אני חסרת ערך.","Negative",-3,2,16,67
"הלוואי שהייתי יכולה להיעלם.","Negative",-3,2,17,68
"הלוואי שהייתי מישהי אחרת.","Negative",-3,2,18,69
"אני כישלון.","Negative",-3,2,21,70
"אני אף פעם לא אצא מזה.","Negative",-3,2,30,71
"אני פסיבית וחסרת מוטיבציה.","Negative",-3,2,34,72
"אני לא מרגישה דבר.","Negative",-3,2,36,73
"נמאס לי לחשוב על זה.","Negative",-2,3,40,74
"אני שונאת את החיים שלי.","Negative",-3,2,43,75
"אני כל כך כועסת על עצמי.","Negative",-3,2,47,76
"אני משועממת מכל דבר.","Negative",-3,2,49,77
"הייתי הורגת את עצמי אם יכולתי.","Negative",-3,2,54,78
"איבדתי עניין באנשים.","Negative",-3,2,57,79
"איבדתי עניין בסקס.","Negative",-2,3,61,80
