qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגישה שהעולם נגדי.","Negative",2,-3
2,"למה אני אף פעם לא מצליחה?","Negative",4,-3
3,"אף אחד לא מבין אותי.","Negative",3,-3
4,"אני לא יכולה להמשיך.","Negative",2,-3
5,"הלוואי שהייתי אדם טוב יותר.","Negative",5,0
6,"אני כל כך חלשה.","Negative",3,-2
7,"אני מאוכזבת מהבחירות שלי.","Negative",2,-3
8,"נמאס לי מעצמי.","Negative",2,-3
9,"שום דבר לא מרגיש לי טוב.","Negative",2,-3
10,"אני לא יכולה לסבול את זה יותר.","Negative",2,-2
11,"קשה לי להתחיל דברים חדשים.","Negative",3,-1
12,"מה לא בסדר איתי?","Negative",3,-3
13,"הלוואי שהייתי במקום אחר.","Negative",3,-3
14,"אני לא מצליחה לארגן דברים.","Negative",3,-2
15,"אני שונאת את עצמי.","Negative",2,-3
16,"אני חסרת ערך.","Negative",2,-3
17,"הלוואי שהייתי יכולה להיעלם.","Negative",2,-3
18,"הלוואי שהייתי מישהי אחרת.","Negative",2,-3
19,"אני לא שווה כלום.","Negative",1,-3
20,"החיים שלי בבלגאן.","Negative",1,-2
21,"אני כישלון.","Negative",2,-3
22,"אני אף פעם לא אצליח.","Negative",3,-3
23,"אני מרגישה חסרת אונים.","Negative",3,-3
24,"משהו חייב להשתנות.","Negative",2,1
25,"משהו לא בסדר איתי.","Negative",3,-3
26,"העתיד שלי בזבל.","Negative",1,-3
27,"זה לא שווה את זה.","Negative",3,-1
28,"אני לא מצליחה לסיים שום דבר.","Negative",4,-2
29,"אני מרגישה לבד.","Negative",2,-2
30,"אני אף פעם לא אצא מזה.","Negative",2,-3
31,"כמה שאני עייפה ...","Negative",4,-2
32,"קשה לי להתרכז.","Negative",2,-1
33,"מה עשיתי שזה מגיע לי?","Negative",1,-3
34,"אני פסיבית וחסרת מוטיבציה.","Negative",2,-3
35,"למה אני כל כך מדוכאת?","Negative",3,-3
36,"אני לא מרגישה דבר.","Negative",2,-3
37,"למה אני לא מצליחה להזיז את עצמי?","Negative",4,-3
38,"למה אני תמיד מגיבה ככה?","Negative",4,-2
39,"אני כל הזמן מנתחת את עצמי.","Negative",2,-1
40,"נמאס לי לחשוב על זה.","Negative",3,-2
41,"למה יש לי בעיות שאין לאחרים?","Negative",3,-3
42,"אני מרגישה עצובה.","Negative",3,-1
43,"אני שונאת את החיים שלי.","Negative",2,-3
44,"אין לי כח לעשות דבר.","Negative",4,-3
45,"למה אני כזאת מתוסבכת?","Negative",3,-3
46,"אני כל הזמן עוסקת ברגשות שלי.","Negative",4,-1
47,"אני כל כך כועסת על עצמי.","Negative",2,-3
48,"העתיד שלי חסר תקווה.","Negative",1,-3
49,"אני משועממת מכל דבר.","Negative",2,-3
50,"אני מרגישה אשמה כל הזמן.","Negative",4,-3
