SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"אני יושב מול מחשב.","Neutral",0,3,73,1
"אני בחדר שקט.","Neutral",0,3,89,2
"מה אני אלבש היום?","Neutral",0,3,92,3
"אני צריך לעשות כביסה.","Neutral",0,3,97,4
"יש לי התראה בפלאפון.","Neutral",0,3,109,5
"אני יושב כרגע.","Neutral",0,2,68,6
"אני נועל נעליים.","Neutral",0,2,69,7
"אני תושב ישראל.","Neutral",0,2,79,8
"אני רוצה להסתפר.","Neutral",0,2,85,9
"אני צריך לשלוח הודעה.","Neutral",0,2,99,10
"אני צריך לבדוק את המייל.","Neutral",0,2,100,11
"אני משתמש באוזניות.","Neutral",0,2,108,12
"אני בתוך בניין.","Neutral",0,1,71,13
"אני מבין עברית.","Neutral",0,1,74,14
"בא לי לשתות קפה.","Neutral",0,1,78,15
"יש לי מטען לפלאפון.","Neutral",0,1,101,16
"אני עובד במשך השבוע.","Neutral",0,1,106,17
"יש לי תוכניות למחר.","Neutral",1,4,80,18
"מה יש לי לעשות היום?","Neutral",1,4,86,19
"מה בא לי לאכול?","Neutral",1,4,93,20
"אני צריך לעשות קניות.","Neutral",-1,3,90,21
"מה אעשה הערב?","Neutral",1,3,96,22
"אני רוצה לנקות את הבית.","Neutral",-1,3,103,23
"הלילה אלך לישון מוקדם.","Neutral",-1,2,83,24
"הערב אני בבית.","Neutral",1,2,87,25
"שתיתי משהו חם הבוקר.","Neutral",1,2,88,26
"שתיתי מספיק מים היום?","Neutral",1,2,91,27
"אני הרבה בנסיעות.","Neutral",-1,2,94,28
"יש לי פגישה בקרוב.","Neutral",1,2,95,29
"אני צריך לעשות טלפון.","Neutral",-1,2,98,30
"אני צריך לארגן את הלו\"ז.","Neutral",1,2,102,31
"מחר אקום מוקדם.","Neutral",-1,2,104,32
"בא לי לצאת להליכה.","Neutral",1,2,107,33
"איפה שמתי את המפתחות?","Neutral",-1,1,72,34
"איפה החניתי את האוטו?","Neutral",-1,1,75,35
"אני משתתף בניסוי.","Neutral",-1,1,82,36
"אני רוצה לצאת לאימון.","Neutral",2,3,81,37
"אני רוצה לראות סרט.","Neutral",2,3,110,38
"אני רוצה לקרוא ספר.","Neutral",2,2,76,39
"אני מצחצח שיניים כל בוקר.","Neutral",2,2,84,40
"אני מרגיש לבד.","Negative",-3,2,29,41
"למה אני אף פעם לא מצליח?","Negative",-2,2,2,42
"קשה לי להתחיל דברים חדשים.","Negative",-2,2,11,43
"מה לא בסדר איתי?","Negative",-2,2,12,44
"למה יש לי בעיות שאין לאחרים?","Negative",-2,2,41,45
"אני מרגיש שהעולם נגדי.","Negative",-3,1,1,46
"נמאס לי מעצמי.","Negative",-3,1,8,47
"אני שונא את עצמי.","Negative",-3,1,15,48
"אני חסר ערך.","Negative",-3,1,16,49
"הלוואי שהייתי יכול להיעלם.","Negative",-3,1,17,50
"אני לא שווה כלום.","Negative",-3,1,19,51
"אני כישלון.","Negative",-3,1,21,52
"אני מרגיש חסר אונים.","Negative",-3,1,23,53
"העתיד שלי בזבל.","Negative",-3,1,26,54
"נמאס לי לחשוב על זה.","Negative",-1,3,40,55
"אני שונא את החיים שלי.","Negative",-3,1,43,56
"העתיד שלי חסר תקווה.","Negative",-3,1,48,57
"אני מרגיש שאני מוענש.","Negative",-3,1,51,58
"איבדתי עניין באנשים.","Negative",-3,1,57,59
"אני חושב שאני מכוער.","Negative",-3,1,59,60
"אני מאכזב את כולם.","Negative",-3,1,62,61
"אני חסר תועלת.","Negative",-3,1,65,62
"אני חסר משמעות.","Negative",-3,1,66,63
"נמאס לי מהכל.","Negative",-3,1,67,64
"אני לא יכול להמשיך.","Negative",-2,1,4,65
"אני כל כך חלש.","Negative",-2,1,6,66
"אני מאוכזב מהבחירות שלי.","Negative",-1,2,7,67
"שום דבר לא מרגיש לי טוב.","Negative",-2,1,9,68
"הלוואי שהייתי מישהו אחר.","Negative",-2,1,18,69
"החיים שלי בבלגאן.","Negative",-2,1,20,70
"אני אף פעם לא אצליח.","Negative",-2,1,22,71
"משהו לא בסדר איתי.","Negative",-1,2,25,72
"זה לא שווה את זה.","Negative",-1,2,27,73
"אני לא מצליח לסיים שום דבר.","Negative",-2,1,28,74
"אני אף פעם לא אצא מזה.","Negative",-2,1,30,75
"כמה שאני עייף...","Negative",-1,2,31,76
"קשה לי להתרכז.","Negative",-1,2,32,77
"אני פסיבי וחסר מוטיבציה.","Negative",-2,1,34,78
"למה אני כל כך מדוכא?","Negative",-2,1,35,79
"אני לא מרגיש דבר.","Negative",-2,1,36,80
