qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגישה שהעולם נגדי.","Negative",2,-3
2,"למה אני אף פעם לא מצליחה?","Negative",4,-3
3,"אף אחד לא מבין אותי.","Negative",2,-3
4,"אני לא יכולה להמשיך.","Negative",5,-3
5,"הלוואי שהייתי אדם טוב יותר.","Negative",2,-3
6,"אני כל כך חלשה.","Negative",5,-3
7,"אני מאוכזבת מהבחירות שלי.","Negative",3,-3
8,"נמאס לי מעצמי.","Negative",2,-3
9,"שום דבר לא מרגיש לי טוב.","Negative",2,-3
10,"אני לא יכולה לסבול את זה יותר.","Negative",5,-3
11,"קשה לי להתחיל דברים חדשים.","Negative",2,-1
12,"מה לא בסדר איתי?","Negative",2,-3
13,"הלוואי שהייתי במקום אחר.","Negative",5,-3
14,"אני לא מצליחה לארגן דברים.","Negative",2,-2
15,"אני שונאת את עצמי.","Negative",1,-3
16,"אני חסרת ערך.","Negative",4,-3
17,"הלוואי שהייתי יכולה להיעלם.","Negative",2,-3
18,"הלוואי שהייתי מישהי אחרת.","Negative",3,-3
19,"אני לא שווה כלום.","Negative",3,-3
20,"החיים שלי בבלגאן.","Negative",4,-3
21,"אני כישלון.","Negative",4,-3
22,"אני אף פעם לא אצליח.","Negative",4,-3
23,"אני מרגישה חסרת אונים.","Negative",5,-3
24,"משהו חייב להשתנות.","Negative",5,-3
25,"משהו לא בסדר איתי.","Negative",2,-3
26,"העתיד שלי בזבל.","Negative",3,-3
27,"זה לא שווה את זה.","Negative",2,-3
28,"אני לא מצליחה לסיים שום דבר.","Negative",3,-3
29,"אני מרגישה לבד.","Negative",5,-3
30,"אני אף פעם לא אצא מזה.","Negative",4,-3
31,"כמה שאני עייפה ...","Negative",5,-3
32,"קשה לי להתרכז.","Negative",5,-2
33,"מה עשיתי שזה מגיע לי?","Negative",5,-3
34,"אני פסיבית וחסרת מוטיבציה.","Negative",5,-3
35,"למה אני כל כך מדוכאת?","Negative",5,-3
36,"אני לא מרגישה דבר.","Negative",1,-1
37,"למה אני לא מצליחה להזיז את עצמי?","Negative",3,-3
38,"למה אני תמיד מגיבה ככה?","Negative",3,-3
39,"אני כל הזמן מנתחת את עצמי.","Negative",5,-2
40,"נמאס לי לחשוב על זה.","Negative",5,-3
41,"למה יש לי בעיות שאין לאחרים?","Negative",2,-3
42,"אני מרגישה עצובה.","Negative",5,-3
43,"אני שונאת את החיים שלי.","Negative",5,-3
44,"אין לי כח לעשות דבר.","Negative",4,-3
45,"למה אני כזאת מתוסבכת?","Negative",2,-3
46,"אני כל הזמן עוסקת ברגשות שלי.","Negative",5,-1
47,"אני כל כך כועסת על עצמי.","Negative",2,-3
48,"העתיד שלי חסר תקווה.","Negative",3,-3
49,"אני משועממת מכל דבר.","Negative",5,-3
50,"אני מרגישה אשמה כל הזמן.","Negative",1,-3
