SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"מה יש לי לעשות היום?","Neutral",0,4,86,1
"בא לי לשתות קפה.","Neutral",0,3,78,2
"הערב אני בבית.","Neutral",0,3,87,3
"אני צריך לעשות קניות.","Neutral",0,3,90,4
"שתיתי מספיק מים היום?","Neutral",0,3,91,5
"אני צריך לעשות טלפון.","Neutral",0,3,98,6
"אני צריך לבדוק את המייל.","Neutral",0,3,100,7
"אני עובד במשך השבוע.","Neutral",0,3,106,8
"יש לי התראה בפלאפון.","Neutral",0,3,109,9
"אני יושב כרגע.","Neutral",0,2,68,10
"אני בתוך בניין.","Neutral",0,2,71,11
"איפה שמתי את המפתחות?","Neutral",0,2,72,12
"איפה החניתי את האוטו?","Neutral",0,2,75,13
"הלילה אלך לישון מוקדם.","Neutral",0,2,83,14
"אני רוצה להסתפר.","Neutral",0,2,85,15
"שתיתי משהו חם הבוקר.","Neutral",0,2,88,16
"מה אני אלבש היום?","Neutral",0,2,92,17
"אני צריך לעשות כביסה.","Neutral",0,2,97,18
"אני משתמש באוזניות.","Neutral",0,2,108,19
"אני נועל נעליים.","Neutral",0,1,69,20
"אני נושם.","Neutral",0,1,70,21
"אני מבין עברית.","Neutral",0,1,74,22
"אני תושב ישראל.","Neutral",0,1,79,23
"אני מצחצח שיניים כל בוקר.","Neutral",0,1,84,24
"יש לי מטען לפלאפון.","Neutral",0,1,101,25
"יש לי פגישה בקרוב.","Neutral",-1,4,95,26
"מה אעשה הערב?","Neutral",1,4,96,27
"מה בא לי לאכול?","Neutral",1,3,93,28
"אני צריך לשלוח הודעה.","Neutral",-1,3,99,29
"בסופ\"ש אפשר לנוח.","Neutral",1,3,105,30
"בא לי לצאת להליכה.","Neutral",1,3,107,31
"אני יושב מול מחשב.","Neutral",1,2,73,32
"אני רוצה לקרוא ספר.","Neutral",1,2,76,33
"אני משתתף בניסוי.","Neutral",1,2,82,34
"אני צריך לארגן את הלו\"ז.","Neutral",-1,2,102,35
"אני בחדר שקט.","Neutral",1,1,89,36
"אני הרבה בנסיעות.","Neutral",-1,1,94,37
"יש לי תוכניות למחר.","Neutral",2,4,80,38
"אני רוצה לצאת לאימון.","Neutral",2,4,81,39
"מחר אקום מוקדם.","Neutral",2,4,104,40
"אני פסיבי וחסר מוטיבציה.","Negative",-3,4,34,41
"למה אני תמיד מגיב ככה?","Negative",-3,4,38,42
"למה אני לא מצליח להזיז את עצמי?","Negative",-3,3,37,43
"נמאס לי מהכל.","Negative",-3,3,67,44
"משהו חייב להשתנות.","Negative",-2,4,24,45
"אני לא מצליח לסיים שום דבר.","Negative",-2,4,28,46
"למה אני אף פעם לא מצליח?","Negative",-3,2,2,47
"הלוואי שהייתי יכול להיעלם.","Negative",-3,2,17,48
"הלוואי שהייתי מישהו אחר.","Negative",-3,2,18,49
"אני כישלון.","Negative",-3,2,21,50
"קשה לי להתרכז.","Negative",-2,3,32,51
"נמאס לי לחשוב על זה.","Negative",-2,3,40,52
"אין לי כח לעשות דבר.","Negative",-2,3,44,53
"אני חושב שאני מכוער.","Negative",-2,3,59,54
"אני מאכזב את כולם.","Negative",-3,2,62,55
"אני חסר משמעות.","Negative",-3,2,66,56
"אני מרגיש שהעולם נגדי.","Negative",-2,2,1,57
"הלוואי שהייתי אדם טוב יותר.","Negative",-1,4,5,58
"אני מאוכזב מהבחירות שלי.","Negative",-2,2,7,59
"שום דבר לא מרגיש לי טוב.","Negative",-2,2,9,60
"אני לא יכול לסבול את זה יותר.","Negative",-2,2,10,61
"מה לא בסדר איתי?","Negative",-2,2,12,62
"הלוואי שהייתי במקום אחר.","Negative",-1,4,13,63
"אני מרגיש חסר אונים.","Negative",-2,2,23,64
"מה עשיתי שזה מגיע לי?","Negative",-2,2,33,65
"למה אני כל כך מדוכא?","Negative",-2,2,35,66
"למה יש לי בעיות שאין לאחרים?","Negative",-2,2,41,67
"אני מרגיש עצוב.","Negative",-2,2,42,68
"אני כל כך כועס על עצמי.","Negative",-2,2,47,69
"הרבה דברים מבאסים אותי.","Negative",-2,2,52,70
"אני עצבני כל הזמן.","Negative",-2,2,56,71
"איבדתי עניין באנשים.","Negative",-2,2,57,72
"אני לא מצליח לקבל החלטות.","Negative",-2,2,58,73
"אני לא מסוגל לעבוד יותר.","Negative",-1,4,60,74
"איבדתי עניין בסקס.","Negative",-2,2,61,75
"לפעמים אני מרגיש אבוד.","Negative",-2,2,64,76
"אני לא יכול להמשיך.","Negative",-3,1,4,77
"אני כל כך חלש.","Negative",-3,1,6,78
"נמאס לי מעצמי.","Negative",-3,1,8,79
"אני שונא את עצמי.","Negative",-3,1,15,80
