sentContent,sentenceType,itemValencyRating,itemFreqRating,TAPlistNumber
"יש לי תוכניות למחר.","Neutral",0,4,80
"אני מצחצחת שיניים כל בוקר.","Neutral",0,4,84
"יש לי מטען לפלאפון.","Neutral",0,4,101
"אני יושבת כרגע.","Neutral",0,3,68
"אני נושמת.","Neutral",0,3,70
"אני הרבה בנסיעות.","Neutral",0,3,94
"יש לי פגישה בקרוב.","Neutral",0,3,95
"אני צריכה לארגן את הלו\"ז.","Neutral",0,3,102
"בא לי לצאת להליכה.","Neutral",0,3,107
"אני מבינה עברית.","Neutral",0,2,74
"בא לי לשתות קפה.","Neutral",0,2,78
"הלילה אלך לישון מוקדם.","Neutral",0,2,83
"שתיתי מספיק מים היום?","Neutral",0,2,91
"מה אני אלבש היום?","Neutral",0,2,92
"מה אעשה הערב?","Neutral",0,2,96
"בסופ\"ש אפשר לנוח.","Neutral",0,2,105
"איפה שמתי את המפתחות?","Neutral",0,1,72
"אני רוצה להסתפר.","Neutral",0,1,85
"אני בחדר שקט.","Neutral",0,1,89
"אני עובדת במשך השבוע.","Neutral",0,1,106
"איפה החניתי את האוטו?","Neutral",1,3,75
"אני משתתפת בניסוי.","Neutral",-1,3,82
"הערב אני בבית.","Neutral",-1,3,87
"אני צריכה לעשות כביסה.","Neutral",-1,3,97
"אני צריכה לעשות טלפון.","Neutral",1,3,98
"אני נועלת נעליים.","Neutral",1,2,69
"אני יושבת מול מחשב.","Neutral",1,2,73
"אני רוצה לקרוא ספר.","Neutral",1,2,76
"אני תושבת ישראל.","Neutral",-1,2,79
"שתיתי משהו חם הבוקר.","Neutral",1,2,88
"אני צריכה לעשות קניות.","Neutral",-1,2,90
"מה בא לי לאכול?","Neutral",1,2,93
"מחר אקום מוקדם.","Neutral",-1,2,104
"אני משתמשת באוזניות.","Neutral",-1,2,108
"יש לי התראה בפלאפון.","Neutral",1,2,109
"אני רוצה לראות סרט.","Neutral",1,2,110
"אני לומדת משהו חדש כל יום.","Neutral",-1,1,77
"מה יש לי לעשות היום?","Neutral",1,1,86
"אני רוצה לנקות את הבית.","Neutral",-1,1,103
"אני בתוך בניין.","Neutral",-2,3,71
"נמאס לי מעצמי.","Negative",-2,2,8
"אני לא יכולה להמשיך.","Negative",-1,3,4
"אני לא שווה כלום.","Negative",-1,3,19
"אני מרגישה חסרת אונים.","Negative",-1,3,23
"קשה לי להתרכז.","Negative",-1,3,32
"למה אני תמיד מגיבה ככה?","Negative",-1,3,38
"אני מרגישה שאני מוענשת.","Negative",-1,3,51
"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",-1,3,53
"אני כל כך חלשה.","Negative",-1,2,6
"אני לא יכולה לסבול את זה יותר.","Negative",-1,2,10
"מה לא בסדר איתי?","Negative",-1,2,12
"אני אף פעם לא אצליח.","Negative",-1,2,22
"העתיד שלי בזבל.","Negative",-1,2,26
"זה לא שווה את זה.","Negative",-1,2,27
"מה עשיתי שזה מגיע לי?","Negative",-1,2,33
"אני פסיבית וחסרת מוטיבציה.","Negative",-1,2,34
"אני כל הזמן מנתחת את עצמי.","Negative",-1,2,39
"אני מרגישה עצובה.","Negative",-1,2,42
"למה אני כזאת מתוסבכת?","Negative",-1,2,45
"הייתי הורגת את עצמי אם יכולתי.","Negative",-1,1,54
"משהו לא בסדר איתי.","Negative",0,5,25
"אני שונאת את עצמי.","Negative",0,4,15
"אני חסרת ערך.","Negative",0,3,16
"אני לא מצליחה לסיים שום דבר.","Negative",0,3,28
"למה יש לי בעיות שאין לאחרים?","Negative",0,3,41
"אני שונאת את החיים שלי.","Negative",0,3,43
"אני כל כך כועסת על עצמי.","Negative",0,3,47
"העתיד שלי חסר תקווה.","Negative",0,3,48
"אני לא מסוגלת לעבוד יותר.","Negative",0,3,60
"אני חסרת תועלת.","Negative",0,3,65
"אני מרגישה שהעולם נגדי.","Negative",0,2,1
"אף אחד לא מבין אותי.","Negative",0,2,3
"הלוואי שהייתי אדם טוב יותר.","Negative",0,2,5
"שום דבר לא מרגיש לי טוב.","Negative",0,2,9
"אני כישלון.","Negative",0,2,21
"משהו חייב להשתנות.","Negative",0,2,24
"אני מרגישה לבד.","Negative",0,2,29
"אני אף פעם לא אצא מזה.","Negative",0,2,30
"כמה שאני עייפה ...","Negative",0,2,31
"למה אני כל כך מדוכאת?","Negative",0,2,35
