SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"אני לומד משהו חדש כל יום.","Neutral",0,4,77,1
"אני מצחצח שיניים כל בוקר.","Neutral",0,4,84,2
"אני צריך לעשות קניות.","Neutral",0,4,90,3
"יש לי פגישה בקרוב.","Neutral",0,4,95,4
"אני צריך לשלוח הודעה.","Neutral",0,4,99,5
"יש לי התראה בפלאפון.","Neutral",0,4,109,6
"אני יושב כרגע.","Neutral",0,3,68,7
"אני בתוך בניין.","Neutral",0,2,71,8
"שתיתי משהו חם הבוקר.","Neutral",0,2,88,9
"מה אני אלבש היום?","Neutral",0,2,92,10
"מה אעשה הערב?","Neutral",0,2,96,11
"אני נועל נעליים.","Neutral",0,1,69,12
"אני מבין עברית.","Neutral",0,1,74,13
"יש לי מטען לפלאפון.","Neutral",0,1,101,14
"אני משתמש באוזניות.","Neutral",0,1,108,15
"אני רוצה לצאת לאימון.","Neutral",-1,4,81,16
"מה יש לי לעשות היום?","Neutral",1,4,86,17
"מה בא לי לאכול?","Neutral",-1,4,93,18
"אני צריך לעשות טלפון.","Neutral",-1,4,98,19
"אני צריך לבדוק את המייל.","Neutral",-1,4,100,20
"אני צריך לארגן את הלו\"ז.","Neutral",1,4,102,21
"אני נושם.","Neutral",1,3,70,22
"אני יושב מול מחשב.","Neutral",-1,3,73,23
"אני תושב ישראל.","Neutral",-1,3,79,24
"הערב אני בבית.","Neutral",-1,3,87,25
"אני עובד במשך השבוע.","Neutral",-1,3,106,26
"איפה שמתי את המפתחות?","Neutral",-1,2,72,27
"איפה החניתי את האוטו?","Neutral",1,2,75,28
"אני משתתף בניסוי.","Neutral",1,2,82,29
"אני הרבה בנסיעות.","Neutral",-1,2,94,30
"בסופ\"ש אפשר לנוח.","Neutral",-1,2,105,31
"אני רוצה לקרוא ספר.","Neutral",2,4,76,32
"שתיתי מספיק מים היום?","Neutral",2,4,91,33
"אני רוצה לנקות את הבית.","Neutral",-2,3,103,34
"מחר אקום מוקדם.","Neutral",2,3,104,35
"בא לי לצאת להליכה.","Neutral",2,3,107,36
"יש לי תוכניות למחר.","Neutral",-2,2,80,37
"הלילה אלך לישון מוקדם.","Neutral",2,2,83,38
"אני רוצה להסתפר.","Neutral",-2,2,85,39
"אני צריך לעשות כביסה.","Neutral",2,2,97,40
"אני כל כך חלש.","Negative",-3,5,6,41
"קשה לי להתרכז.","Negative",-3,3,32,42
"אני פסיבי וחסר מוטיבציה.","Negative",-3,3,34,43
"אין לי כח לעשות דבר.","Negative",-3,3,44,44
"למה אני לא מצליח להזיז את עצמי?","Negative",-2,4,37,45
"אני לא יכול להמשיך.","Negative",-2,3,4,46
"כמה שאני עייף...","Negative",-2,3,31,47
"למה אני כל כך מדוכא?","Negative",-2,3,35,48
"קשה לי עם אינטימיות.","Negative",-2,3,63,49
"אני לא יכול לסבול את זה יותר.","Negative",-2,2,10,50
"הלוואי שהייתי יכול להיעלם.","Negative",-2,2,17,51
"אני לא מצליח לסיים שום דבר.","Negative",-2,2,28,52
"אני משועמם מכל דבר.","Negative",-2,2,49,53
"אני לא מסוגל לעבוד יותר.","Negative",-2,2,60,54
"אני לא מצליח לארגן דברים.","Negative",-1,3,14,55
"הלוואי שהייתי מישהו אחר.","Negative",-3,1,18,56
"אני מרגיש חסר אונים.","Negative",-1,3,23,57
"זה לא שווה את זה.","Negative",-1,3,27,58
"למה אני אף פעם לא מצליח?","Negative",-1,2,2,59
"אף אחד לא מבין אותי.","Negative",-1,2,3,60
"אני מאוכזב מהבחירות שלי.","Negative",-1,2,7,61
"נמאס לי מעצמי.","Negative",-1,2,8,62
"שום דבר לא מרגיש לי טוב.","Negative",-1,2,9,63
"אני שונא את עצמי.","Negative",-2,1,15,64
"אני חסר ערך.","Negative",-2,1,16,65
"מה עשיתי שזה מגיע לי?","Negative",-1,2,33,66
"אני שונא את החיים שלי.","Negative",-2,1,43,67
"אני כל הזמן עסוק ברגשות שלי.","Negative",-2,1,46,68
"איבדתי עניין בסקס.","Negative",-1,2,61,69
"אני מאכזב את כולם.","Negative",-1,2,62,70
"נמאס לי מהכל.","Negative",-1,2,67,71
"אני מרגיש שהעולם נגדי.","Negative",-1,1,1,72
"מה לא בסדר איתי?","Negative",-1,1,12,73
"אני לא שווה כלום.","Negative",-1,1,19,74
"אני כישלון.","Negative",-1,1,21,75
"אני אף פעם לא אצליח.","Negative",-1,1,22,76
"העתיד שלי בזבל.","Negative",-1,1,26,77
"אני כל כך כועס על עצמי.","Negative",-1,1,47,78
"אני מרגיש אשם כל הזמן.","Negative",-1,1,50,79
"אני מרגיש שאני מוענש.","Negative",-1,1,51,80
