qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגיש שהעולם נגדי.","Negative",1,-3
2,"למה אני אף פעם לא מצליח?","Negative",2,-2
3,"אף אחד לא מבין אותי.","Negative",1,-1
4,"אני לא יכול להמשיך.","Negative",1,-2
5,"הלוואי שהייתי אדם טוב יותר.","Negative",1,1
6,"אני כל כך חלש.","Negative",1,-2
7,"אני מאוכזב מהבחירות שלי.","Negative",2,-1
8,"נמאס לי מעצמי.","Negative",1,-3
9,"שום דבר לא מרגיש לי טוב.","Negative",1,-2
10,"אני לא יכול לסבול את זה יותר.","Negative",1,-1
11,"קשה לי להתחיל דברים חדשים.","Negative",2,-2
12,"מה לא בסדר איתי?","Negative",2,-2
13,"הלוואי שהייתי במקום אחר.","Negative",2,0
14,"אני לא מצליח לארגן דברים.","Negative",1,-1
15,"אני שונא את עצמי.","Negative",1,-3
16,"אני חסר ערך.","Negative",1,-3
17,"הלוואי שהייתי יכול להיעלם.","Negative",1,-3
18,"הלוואי שהייתי מישהו אחר.","Negative",1,-2
19,"אני לא שווה כלום.","Negative",1,-3
20,"החיים שלי בבלגאן.","Negative",1,-2
21,"אני כישלון.","Negative",1,-3
22,"אני אף פעם לא אצליח.","Negative",1,-2
23,"אני מרגיש חסר אונים.","Negative",1,-3
24,"משהו חייב להשתנות.","Negative",2,0
25,"משהו לא בסדר איתי.","Negative",2,-1
26,"העתיד שלי בזבל.","Negative",1,-3
27,"זה לא שווה את זה.","Negative",2,-1
28,"אני לא מצליח לסיים שום דבר.","Negative",1,-2
29,"אני מרגיש לבד.","Negative",2,-3
30,"אני אף פעם לא אצא מזה.","Negative",1,-2
31,"כמה שאני עייף...","Negative",2,-1
32,"קשה לי להתרכז.","Negative",2,-1
33,"מה עשיתי שזה מגיע לי?","Negative",1,0
34,"אני פסיבי וחסר מוטיבציה.","Negative",1,-2
35,"למה אני כל כך מדוכא?","Negative",1,-2
36,"אני לא מרגיש דבר.","Negative",1,-2
37,"למה אני לא מצליח להזיז את עצמי?","Negative",1,-2
